address,token_symbol,decimal
0xFe88c952dFd9595F266BAE053DaaaC411CcfAF07,Koma,0
0xa0Cc4428FbB652C396F28DcE8868B8743742A71c,PAI,18
0x87Fd01183BA0235e1568995884a78F61081267ef,OPMND,18
0x73A83269b9bbAFC427E76Be0A2C1a1db2a26f4C2,0NE,18
0xCc802c45B55581713cEcd1Eb17BE9Ab7fcCb0844,BHNY,18
0x4b94c8567763654101F690Cf4d54957206383b75,NASH,18
0x61fF589915D117E5EE2384E047cEAe6a40Dc3c1a,NOTHING,18
0x0258F474786DdFd37ABCE6df6BBb1Dd5dfC4434a,ORN,8
0x338286C0BC081891A4Bda39C7667ae150bf5D206,crSUSHI,8
0x74345504Eaea3D9408fC69Ae7EB2d14095643c5b,fxUSDGHO,18
0xEd1199093b1aBd07a368Dd1C0Cdc77D8517BA2A0,HEX2T,18
0x00A55375002f3cDa400383F479e7Cd57Bad029A9,CNJ,18
0x59D9356E565Ab3A36dD77763Fc0d87fEaf85508C,USDM,18
0x976287CCB0C0f2b7bC0759c1CBaBa3c39571f648,GSHIB,8
0x95eC73Baa0eCF8159b4EE897D973E41f51978E50,auraezETH-WETH-BPT-vault,18
0xF190dbD849E372FF824e631a1FdF199f38358BCf,BARA,18
0x5F6bb887C9A4609078A01B2832f37D0F96Fe762f,LTT,8
0xa393473d64d2F9F026B60b6Df7859A689715d092,LTX,8
0xb48Eb8368c9C6e9b0734de1Ef4ceB9f484B80b9C,VMPX,18
0xF7970499814654CD13Cb7B6E7634A12a7A8A9ABc,TOM,18
0x5a731151d6510Eb475cc7a0072200cFfC9a3bFe5,$KING,18
0x1934E252f840aA98dfCe2b6205B3E45c41AeF830,₡ABIN,18
0x00c5CA160A968f47e7272A0CFCda36428F386CB6,USDEBT,18
0x8e15a22853A0A60a0FBB0d875055A8E66cff0235,hWBTC,8
0x71F0E3a967Be5fd797c543464b1D652dd4f9b480,FF6000,18
0x14d4c7A788908fbbBD3c1a4Bac4AFf86fE1573EB,TAIRYO,9
0x66F7B851bF3321a660B13C5E37B0757b313EE2Bf,饭,9
0xdEd5B4faFF35547628C303CE0752bC690ac02810,brAIn,18
0x048c44Bb1f1c4cB6Fce99d6042E585333304Cc98,ᕮ(ᵕ.ᵕ)ᕭ,9
0x5a75A093747b72a0e14056352751eDF03518031d,ESW,18
0x0283d310d682284EbC24DB33A41Bb5a01BDD140B,BEEP,18
0xaA8330FB2B4D5D07ABFE7A72262752a8505C6B37,POLC,18
0x06A4385d11b64Be7248db210ECa0A04A558608A5,DOVA,18
0xFfB2a0dDb9193e07d48475BE270EAC5eD0c08A6C,PEPE2.0,9
0x2B15bd5A23346C0E21FB1Cecd6FDa75d9ea09B4C,BTC2.0,9
0xb3Ad645dB386D7F6D753B2b9C3F4B853DA6890B8,CTR,18
0x0B5a91A43cb798C45fd56BFB5d41C13C42a7AFa8,APU,18
0xB4EFd85c19999D84251304bDA99E90B92300Bd93,RPL,18
0x6CbaE54BE560ba5633680d8EfeF1f6E4E22eBF0C,BANE,18
0x2C540c3c7BE7aF98278Dc6963e092cD450009d1F,SPARKO,18
0xda4Dd9586D27202A338843Dd6B9824d267006783,ECT,9
0x309627af60F0926daa6041B8279484312f2bf060,USDB,18
0x2C23307aad89A4C294ceE19c8DE595d1c2FDa47A,EQLP,18
0x4F8BD56A166202A00b7D8400803dB4D1273c8B6D,THO,8
0xFA1B65448E7eC5f37e512cDcE52Ab79e541f4fB2,SNAILS,9
0xf2db9a7c0ACd427A680D640F02d90f6186E71725,yvCurve-LINK,18
0x6F620EC89B8479e97A6985792d0c64F237566746,WPC,18
0x92e38F052A8Fc2B5Bd781B2135e5cEA93816cb81,BINU,18
0x6c28AeF8977c9B773996d0e8376d2EE379446F2f,QUICK,18
0xF4b5470523cCD314C6B9dA041076e7D79E0Df267,BBANK,18
0x43385366Ed8775dd541f96Df9950770e95ED060b,MOON-V1-ETH-REN,18
0xCEc09933a953CE410f1b30aE465381525e8828aE,NYANCAT,18
0x2F9678085ACF1897f63a102E9f7cB835609158D1,VB,18
0x73968b9a57c6E53d41345FD57a6E6ae27d6CDB2F,SDT,18
0x50f8441cd7A4478dBBfCA8D7F924EFfA6dc27b0d,UNI-V2,18
0xe94EC2da787054C75ECa8ce00D58F8804B7cb732,UWUAI,18
0x02c3296C6eb50249f290AE596F2bE9454bFfadaB,RJV,6
0x67563E7A0F13642068F6F999e48c690107A4571F,WAXBNT,18
0xBbd900e05b4aF2124390D206F70bc4E583B1bE85,MINTYS,9
0x83d4927d060A7A33ad838bD7ea0Ec128D58c9003,FUNDED,18
0x078EC6cd37b8a72cCB0229A4cAE5056e5d8f38b5,0xD,8
0x2b8beC81F648f327B7d8278EE74932845cDa3d19,RIPGWC,18
0x4D2eE5DAe46C86DA2FF521F7657dad98834f97b8,PPBLZ,18
0xf720e9137baa9C7612e6CA59149a5057ab320cFa,GHO/USDT/USDC-gauge,18
0x4E3905762c065842658A351d86728CE7A61cE615,ORACLE,8
0x42d6622deCe394b54999Fbd73D108123806f6a18,SPANK,18
0xf9d4DAaE1300CfF251979722C4A3C45857973079,CASTLE,18
0x2fbbA5CbfF94E4aF28166104CE3f809319e7938E,TRANCHE-AMPL-Z,9
0x5490A5C4691D082b75e2434aE708401F213524E2,CATO,18
0x61C6eBf443AD613c9648762585B3cFD3BA1F3fA8,SIX,18
0xC96113eED8cAB59cD8A66813bCB0cEb29F06D2e4,variableDebtEthwstETH,18
0x539EfE69bCDd21a83eFD9122571a64CC25e0282b,BLUE,8
0x73fBD93bFDa83B111DdC092aa3a4ca77fD30d380,SOPH,18
0xeC5483804e637D45cDe22Fa0869656B64b5AB1ab,ACE,18
0xc7fF1e126cC81e816915FF48c940ED9d4E6d05d6,IJC,18
0xe0e51a3F1D9c65Bba1326e4a0B1d99B737eFC2c0,RMD,8
0xf1DEAC0863Bb45862f117CC94326054E1D93baa7,kmDAI/xSUSHI-LINK,18
0xE1EE5B789ba4eA5287999034FdF293361b53e024,variableDebtWETH,18
0xAe5DBF4dBF5f550AC1795bbaAE6D44033C7c2617,MEXICO,18
0xcae3fAA4B6cF660AEF18474074949BA0948bc025,GEN,18
0x914f79F4fDFfe98a68B10B8327f7a571fA36405D,YLB,18
0x54F9b4B4485543A815c51c412a9E20436A06491d,BXX,18
0x6f222E04F6c53Cc688FfB0Abe7206aAc66A8FF98,ROKO,18
0x05ff47AFADa98a98982113758878F9A8B9FddA0a,weETH/rETH,18
0x30bCfaE081DeA6F1ACd014947aBBFaB791cc2296,SNIFF,18
0x8328C886cd4176759BFc4a6a8f9C6973cfEe3D65,UNI-V2,18
0x6f450f117114075D1D1C91dD64a61C0bA72ca68F,PADTHAI,18
0x474021845C4643113458ea4414bdb7fB74A01A77,UNO,18
0x405154cFAF5Ea4EF57B65b86959c73Dd079FA312,ALICE,18
0x5299d6F7472DCc137D7f3C4BcfBBB514BaBF341A,sXMR,18
0xFbbE9b1142C699512545f47937Ee6fae0e4B0aA9,EDDA,18
0x5C254dFB4967cD66B09e84fCD04e2D77694C7bce,LADYS2.0,18
0xb59743C3fd2E0B86EC36e954F9F8c77765ac12bC,PAYLOAD,9
0x4332f8A38f14BD3D8D1553aF27D7c7Ac6C27278D,APEFI,18
0x8aC4855B59Ce5227d343983f73a4c14FF6241B4c,BOZO,18
0xaF1250fa68D7DECD34fD75dE8742Bc03B29BD58e,IHF,18
0x1fb00E22E93961F9666196Ba0C0b4c4d5098d77b,FOML,2
0xEeEeeeeEe2aF8D0e1940679860398308e0eF24d6,ETHV,18
0x851fbd5D5bb554eEe2a11FEe69fC5090C2CCA0Bb,DCLOUD,9
0x83984d6142934bb535793A82ADB0a46EF0F66B6d,REM,4
0xC7555f6410E983C867748879B2F6d2b0b0e100fd,SDAX,5
0x20f6A313Cb250062331Fe70B9567E3EE5f01888B,WGMI,18
0xB668f51f1D63452b566456053fA348c3037E2B1F,SLSD,18
0xCa76543Cf381ebBB277bE79574059e32108e3E65,wsOHM,18
0xA361718326c15715591c299427c62086F69923D9,aBUSD,18
0xc01b1979e2244Dc94e67891df0Af4F7885e57fD4,LAN,18
0xf2Ef3551C1945A7218fc4eC0a75c9eCFDF012A4F,C4G3,18
0xc5019E129b75D380d3d837B8e609dEc6c8f5d044,GN,9
0x6Ee9742d17B527e682248DCA85952e4Fe190061d,NEON,18
0xDED0C22aCd80e7a4bd6eC91ced451Fc83f04cAB2,VFARM,18
0x75d07b4e80bCB62f7bc91d3F02Bf1529613A9386,ACO ETH-420USDC-C-13NOV20-0800UTC,18
0x15bCDFAd12498DE8a922E62442Ae4CC4bd33bd25,WALT,18
0x68037790A0229e9Ce6EaA8A99ea92964106C4703,PAR,18
0xdC0D20D928BC0d44A885815Ae14811fD8A8A56f6,BTC 0.5,9
0xf6ec87DFE1Ed3a7256Cc0c38e3c8139103e9aF3b,GENE,18
